episode,reward,accuracy,steps,buffer_size,epsilon,loss
58,-91.0,0.20689655172413793,87,24628,0.8979091956732421,0.0850223686717365
59,-675.5,0.22617124394184168,619,25247,0.8978567117184251,0.1004963403474389
60,-773.5,0.18923076923076923,650,25897,0.897801602823222,0.0886588781291189
61,-19.5,0.15,20,25917,0.8977999072217119,1.3479095607995988
62,-293.0,0.14347826086956522,230,26147,0.8977804080480871,0.5472498663093732
63,-1043.0,0.17176470588235293,850,26997,0.8977083497759231,0.1451122774819241
64,-723.5,0.2115987460815047,638,27635,0.8976542677084436,0.10015015946963925
65,-119.0,0.22807017543859648,114,27749,0.8976446045048722,0.1061040478872887
66,-1161.5,0.19250253292806485,987,28736,0.8975609461110171,0.11938565375289022
67,-826.0,0.17138599105812222,671,29407,0.8975040766795238,0.09674920983773541
68,-1132.0,0.1882229232386961,951,30358,0.8974234828741278,0.13419815007603084
69,-331.0,0.1590909090909091,264,30622,0.8974011111894874,0.12031916813981353
70,-1067.5,0.188470066518847,902,31524,0.8973246790563991,0.1003101664355764
71,-336.0,0.21122112211221122,303,31827,0.89729900550758,0.5664695739967398
72,-590.5,0.22037037037037038,540,32367,0.8972532525966224,0.170000412835981
73,-43.0,0.15789473684210525,38,32405,0.8972500330403795,0.08775278700417594
74,-105.5,0.20618556701030927,97,32502,0.8972418147549178,0.09849960871578492
75,-507.5,0.1912442396313364,434,32936,0.8972050452580613,0.13671287520217798
76,-39.5,0.2619047619047619,42,32978,0.8972014870043435,0.08016557184358437
77,-955.0,0.16731517509727625,771,33749,0.8971361702876873,0.12204492330157359
78,-104.5,0.17582417582417584,91,33840,0.8971284613836132,0.08168812129892163
79,-814.0,0.19130434782608696,690,34530,0.8970700115363207,0.1687132084539727
80,-285.5,0.21235521235521235,259,34789,0.897048072707131,0.09514892300137796
81,-144.0,0.176,125,34914,0.8970374846723975,0.9300073409080505
82,-43.5,0.22727272727272727,44,34958,0.8970337577156643,0.6610967086797411
83,-216.5,0.1638418079096045,177,35135,0.8970187653508355,0.3101029060781002
84,-204.0,0.1695906432748538,171,35306,0.8970042814537857,0.24098174316449122
85,-122.5,0.17307692307692307,104,35410,0.8969954726550644,0.1559966936474666
86,-717.0,0.18043844856661045,593,36003,0.8969452473127321,0.15132244293614092
87,-291.5,0.2054263565891473,258,36261,0.8969233964072293,0.09907347907839242
88,-1040.5,0.17099056603773585,848,37109,0.8968515803482578,0.1605765154246979
89,-21.5,0.14285714285714285,21,37130,0.8968498019618065,0.10796367439130942
90,-26.0,0.23333333333333334,30,37160,0.8968472614162114,0.12997598989556233
91,-966.0,0.18450184501845018,813,37973,0.8967784155324814,0.4046478790688119
92,-863.0,0.167621776504298,698,38671,0.8967193124617984,0.13569649567635447
93,-794.0,0.1776416539050536,653,39324,0.896664023495899,0.12842632045435962
94,-651.5,0.18874773139745918,551,39875,0.896617373593421,0.12991914483034026
95,-893.0,0.19154557463672392,757,40632,0.896553287083945,0.15683097687095915
96,-982.0,0.17412935323383086,804,41436,0.896485226935718,0.1997639277651072
97,-317.5,0.2014388489208633,278,41714,0.896461694973505,0.14955041676478312
98,-728.0,0.1658119658119658,585,42299,0.8964121784127226,0.16525828136433648
